자치구,행정동_코드,행정동_코드_명,금융MBTI,군집,대표_아파트_단지,상권_유형,상권_원형,접근성_교통_키워드,상권_장점_키워드,상권_단점_리스크_키워드,주요_배후수요_특성,키워드_접근성인프라,키워드_소비배후수요,키워드_환경리스크,추천_유망_업종,비추천_주의_업종,타깃_업종,업종_공백,업종_강점,상권_한줄평,유형,사분면,기회_유형,기회점수,기회순위,배율,격차금액_분기,잔차_추세,기회_인사이트,해석주의,상주인구,직장인구,직주비,청년비율,청년인구비율,1인가구비율,아파트_평균_시가,아파트비중순위,지하철역,집객시설,경도,위도
강남구,11680510,신사동,자산안정형,2,"신현대(현대9·11·12차), 현대6·7차, 압구정하이츠",초고자산·트렌드명품형,고자산·아파트형,"3호선 압구정역·신사역, 성수대교·동호대교 인접, 도산대로 축선","대한민국 최고 수준의 초고자산가 배후, 도산공원·가로수길 등 트렌드 발신지, 객단가 최상위권","재건축 대기 아파트의 극심한 주차난 및 녹물/배관 노후, 초고가 임대료 및 권리금, 주말 외지인 과밀","전통 부유층, 전문직 고소득자, 패션/뷰티 종사자 및 2030 트렌드세터",#역세권 #집객시설밀집 #몰세권 #주차난 #공원·숲세권,#초고자산 #직장인밀집 #야간소비,#노후상권 #고임대료 #정비사업·공사 #주말공동화 #소비유출,"하이엔드 오마카세/파인다이닝, 고급 피부과/성형외과, 프리미엄 반려동물 케어, 에스테틱","저가 박리다매 매장, 무인 할인점, 생계형 분식점","[데이터] 식자재마트·정육·반찬가게 / 생활용품·무인점포·세탁  [현장키워드] 하이엔드 오마카세/파인다이닝, 고급 피부과/성형외과, 프리미엄 반려동물 케어, 에스테틱","식료품(×0.18), 생활용품(×0.37)","유흥(×2.66), 여가·문화(×2.40)",전통 부촌의 독보적 자산력과 전국 최고 트렌드 상권이 맞물려 객단가 극대화가 가능한 하이엔드 상권,저평가,안정(저평가),② 유출보완형 기회,83.3,6.0,0.4386963587471965,-50515511856.05046,0.0298109312431625,"[고자산·아파트형] 인구·인프라로 본 기대소비 대비 실제 ×0.44 (분기 약 505억 원 밑돎, 추세 보합). 유사 원형 동 대비 식료품(×0.18), 생활용품(×0.37) 비중이 낮아 해당 업종 공급 여지. 유흥(×2.66), 여가·문화(×2.40)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,14587.31,26976.08333333333,1.79282197460482,0.2540165846074112,0.2993859104395225,0.1675650313944663,1000774827.0,0.5047169811320755,1.0,260.0,127.02018221010984,37.52608123258473
강남구,11680521,논현1동,영앤레버리지형,0,"역삼럭키, 역삼푸르지오, 논현아크로힐스, 논현동고급빌라",도심오피스·야간유흥형,오피스·업무형,"2호선 역삼역·강남역, 9호선 언주역·신논현역 더블 역세권","테헤란로 IT/금융 대기업 직장인 밀집, 24시간 불야성 상권, 1인가구 직장인 배후수요 풍부","유흥가 및 주점 밀집으로 인한 야간 소음, 취객/치안 호불호, 빌라촌 주차난, 주말 오피스가 공동화",2030 IT/스타트업 직장인 1인가구 및 야간 상업 종사자,#다중역세권 #집객시설밀집 #주차난,#2030청년가구 #직장인밀집,#유흥가소음 #주말공동화 #소비유출,"회식형 고깃집/이자카야, 24시 배달전문점, 코인빨래방, 샐러드/포케 도시락, 피트니스","아동용품점, 유아/초등 학원, 대형 완구점","[데이터] 의류·잡화 편집숍 / 음식점·카페·배달전문점  [현장키워드] 회식형 고깃집/이자카야, 24시 배달전문점, 코인빨래방, 샐러드/포케 도시락, 피트니스","의류·신발(×0.33), 음식(×0.64)","의료비(×4.14), 교육(×3.81)",평일 낮 직장인 점심/카페 소비와 밤~새벽 야간 주점/배달 소비가 24시간 이어지는 고회전 상권,저평가,안정(저평가),② 유출보완형 기회,77.8,10.0,0.486313170422376,-39623225451.56957,-0.0071782856492879,"[오피스·업무형] 인구·인프라로 본 기대소비 대비 실제 ×0.49 (분기 약 396억 원 밑돎, 추세 보합). 유사 원형 동 대비 의류·신발(×0.33), 음식(×0.64) 비중이 낮아 해당 업종 공급 여지. 의료비(×4.14), 교육(×3.81)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,22827.685,41888.16666666666,2.1547913888359687,0.4313202514764717,0.442287784679089,0.3904494478951,409434418.0,0.7735849056603774,3.0,300.0,127.02650109404792,37.51187116329984
강남구,11680531,논현2동,영앤레버리지형,0,"역삼럭키, 역삼푸르지오, 논현아크로힐스, 논현동고급빌라",도심오피스·야간유흥형,오피스·업무형,"2호선 역삼역·강남역, 9호선 언주역·신논현역 더블 역세권","테헤란로 IT/금융 대기업 직장인 밀집, 24시간 불야성 상권, 1인가구 직장인 배후수요 풍부","유흥가 및 주점 밀집으로 인한 야간 소음, 취객/치안 호불호, 빌라촌 주차난, 주말 오피스가 공동화",2030 IT/스타트업 직장인 1인가구 및 야간 상업 종사자,#역세권 #집객시설밀집 #주차난,#2030청년가구 #직장인밀집,#유흥가소음 #주말공동화 #소비유출,"회식형 고깃집/이자카야, 24시 배달전문점, 코인빨래방, 샐러드/포케 도시락, 피트니스","아동용품점, 유아/초등 학원, 대형 완구점","[데이터] 피트니스·필라테스·키즈카페·공방  [현장키워드] 회식형 고깃집/이자카야, 24시 배달전문점, 코인빨래방, 샐러드/포케 도시락, 피트니스",여가·문화(×0.60),"생활용품(×3.36), 의료비(×2.98)",평일 낮 직장인 점심/카페 소비와 밤~새벽 야간 주점/배달 소비가 24시간 이어지는 고회전 상권,저평가,안정(저평가),② 유출보완형 기회,78.8,9.0,0.4102549953804306,-37734686966.27739,-0.0125075820324597,"[오피스·업무형] 인구·인프라로 본 기대소비 대비 실제 ×0.41 (분기 약 377억 원 밑돎, 추세 보합). 유사 원형 동 대비 여가·문화(×0.60) 비중이 낮아 해당 업종 공급 여지. 생활용품(×3.36), 의료비(×2.98)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,21461.48833333333,55625.583333333336,2.798713731651038,0.3550493396828514,0.3560838907973241,0.2614653769661905,559871538.0,0.7334905660377359,1.0,240.0,127.03620734636496,37.51523834181583
강남구,11680545,압구정동,자산안정형,2,"신현대(현대9·11·12차), 현대6·7차, 압구정하이츠",초고자산·트렌드명품형,고자산·아파트형,"3호선 압구정역·신사역, 성수대교·동호대교 인접, 도산대로 축선","대한민국 최고 수준의 초고자산가 배후, 도산공원·가로수길 등 트렌드 발신지, 객단가 최상위권","재건축 대기 아파트의 극심한 주차난 및 녹물/배관 노후, 초고가 임대료 및 권리금, 주말 외지인 과밀","전통 부유층, 전문직 고소득자, 패션/뷰티 종사자 및 2030 트렌드세터",#다중역세권 #집객시설밀집 #몰세권 #주차난 #공원·숲세권,#초고자산 #직장인밀집 #야간소비,#노후상권 #고임대료 #정비사업·공사 #주말공동화 #소비유출,"하이엔드 오마카세/파인다이닝, 고급 피부과/성형외과, 프리미엄 반려동물 케어, 에스테틱","저가 박리다매 매장, 무인 할인점, 생계형 분식점","[데이터] 식자재마트·정육·반찬가게  [현장키워드] 하이엔드 오마카세/파인다이닝, 고급 피부과/성형외과, 프리미엄 반려동물 케어, 에스테틱",식료품(×0.23),"의류·신발(×4.08), 유흥(×3.04)",전통 부촌의 독보적 자산력과 전국 최고 트렌드 상권이 맞물려 객단가 극대화가 가능한 하이엔드 상권,저평가,안정(저평가),② 유출보완형 기회,,,0.1357620496257454,-272209678869.08292,-0.0109662554787522,"[고자산·아파트형] 인구·인프라로 본 기대소비 대비 실제 ×0.14 (분기 약 2,722억 원 밑돎, 추세 보합). 유사 원형 동 대비 식료품(×0.23) 비중이 낮아 해당 업종 공급 여지. 의류·신발(×4.08), 유흥(×3.04)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입. ※ 배율 극단(×0.25↓): 인접 거대상권 흡수·재건축 이주 가능성, 인접 동과 묶어 해석","배율 극단(×0.25↓): 인접 거대상권 흡수·재건축 이주 가능성, 인접 동과 묶어 해석",22615.3675,43368.083333333336,1.932654389524867,0.2153221792564799,0.2389181385869565,0.1026235563858695,1709243568.0,0.4504716981132075,2.0,313.0,127.03431370176712,37.52975405970077
강남구,11680565,청담동,자산안정형,2,"청담르엘, 청담자이, 삼성힐스테이트1단지, 아이파크삼성",고소득·복합인프라형,오피스·업무형,"7호선 청담역, 9호선 봉은사역, 2호선 삼성역, 영동대로 복합환승센터(공사중)","코엑스·현대백화점의 완벽한 몰세권, 명품거리 배후, 봉은사/탄천 쾌적성, 하이엔드 소비력","영동대로 대규모 개발공사로 인한 장기 소음/교통통제, 높은 임대료 장벽",고자산 패밀리 및 글로벌 기업 임직원,#다중역세권 #집객시설밀집 #환승요충지 #몰세권,#초고자산 #직장인밀집,#고임대료 #정비사업·공사 #주말공동화 #소비유출,"고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실","초저가 할인매장, 덤핑 의류점","[데이터] 피트니스·필라테스·키즈카페·공방  [현장키워드] 고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실",여가·문화(×0.33),"의류·신발(×4.19), 의료비(×3.91)",대규모 전시/쇼핑 인프라와 최고급 주거지가 결합되어 고급 소비가 자연스럽게 일어나는 안정 상권,저평가,안정(저평가),② 유출보완형 기회,73.3,27.0,0.6638526908430502,-15953299770.065624,-0.0087138848769987,"[오피스·업무형] 인구·인프라로 본 기대소비 대비 실제 ×0.66 (분기 약 160억 원 밑돎, 추세 보합). 유사 원형 동 대비 여가·문화(×0.33) 비중이 낮아 해당 업종 공급 여지. 의류·신발(×4.19), 의료비(×3.91)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,24799.025,55646.0,2.370939474220501,0.2782555532912166,0.2872449952335558,0.1501136320305053,1225412764.0,0.7311320754716981,3.0,288.0,127.05046570173896,37.524396311018045
강남구,11680580,삼성1동,자산안정형,2,"청담르엘, 청담자이, 삼성힐스테이트1단지, 아이파크삼성",고소득·복합인프라형,오피스·업무형,"7호선 청담역, 9호선 봉은사역, 2호선 삼성역, 영동대로 복합환승센터(공사중)","코엑스·현대백화점의 완벽한 몰세권, 명품거리 배후, 봉은사/탄천 쾌적성, 하이엔드 소비력","영동대로 대규모 개발공사로 인한 장기 소음/교통통제, 높은 임대료 장벽",고자산 패밀리 및 글로벌 기업 임직원,#다중역세권 #집객시설밀집 #몰세권 #환승요충지,#초고자산 #직장인밀집 #가족세대,#고임대료 #정비사업·공사 #주말공동화 #소비유출,"고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실","초저가 할인매장, 덤핑 의류점","[데이터] 주점·이자카야·노래방 / 식자재마트·정육·반찬가게  [현장키워드] 고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실","유흥(×0.53), 식료품(×0.65)","의류·신발(×7.85), 여가·문화(×1.69)",대규모 전시/쇼핑 인프라와 최고급 주거지가 결합되어 고급 소비가 자연스럽게 일어나는 안정 상권,저평가,안정(저평가),② 유출보완형 기회,74.9,20.0,0.4386702975326771,-50274551828.77372,-0.0453150848110355,"[오피스·업무형] 인구·인프라로 본 기대소비 대비 실제 ×0.44 (분기 약 503억 원 밑돎, 추세 보합). 유사 원형 동 대비 유흥(×0.53), 식료품(×0.65) 비중이 낮아 해당 업종 공급 여지. 의류·신발(×7.85), 여가·문화(×1.69)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,14198.581666666669,186289.5,15.60400527443547,0.2690786220537333,0.2614489616451329,0.1193215179598187,1078530686.0,0.7971698113207547,3.0,199.0,127.06079807607485,37.51530032427762
강남구,11680590,삼성2동,자산안정형,2,"청담르엘, 청담자이, 삼성힐스테이트1단지, 아이파크삼성",고소득·복합인프라형,학원가·에듀형,"7호선 청담역, 9호선 봉은사역, 2호선 삼성역, 영동대로 복합환승센터(공사중)","코엑스·현대백화점의 완벽한 몰세권, 명품거리 배후, 봉은사/탄천 쾌적성, 하이엔드 소비력","영동대로 대규모 개발공사로 인한 장기 소음/교통통제, 높은 임대료 장벽",고자산 패밀리 및 글로벌 기업 임직원,#다중역세권 #집객시설밀집 #환승요충지 #몰세권,#직장인밀집,#고임대료 #정비사업·공사 #주말공동화,"고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실","초저가 할인매장, 덤핑 의류점","[데이터] 식자재마트·정육·반찬가게  [현장키워드] 고급 브런치, 프리미엄 와인바, 프라이빗 골프스튜디오, 고급 미용실",식료품(×0.73),"생활용품(×5.06), 의류·신발(×3.82)",대규모 전시/쇼핑 인프라와 최고급 주거지가 결합되어 고급 소비가 자연스럽게 일어나는 안정 상권,기대수준,안정(저평가),② 유출보완형 기회,76.2,14.0,0.7417983210313563,-5785124350.458796,0.0161351001285248,"[학원가·에듀형] 인구·인프라로 본 기대소비 대비 실제 ×0.74 (분기 약 58억 원 밑돎, 추세 보합). 유사 원형 동 대비 식료품(×0.73) 비중이 낮아 해당 업종 공급 여지. 생활용품(×5.06), 의류·신발(×3.82)은 이미 강세라 신규 진입 시 차별화 필요. 수요 대비 소비가 꾸준히 밖으로 샘 — 빠진 필수업종을 채우는 근린형 진입.",,25265.785,61020.333333333336,2.310801530462082,0.2774780077831191,0.3212293639800846,0.1772904578295212,614869178.0,0.6721698113207547,4.0,177.0,127.04877195494672,37.51185505709333
강남구,11680600,대치1동,자산안정형,2,"은마, 래미안대치팰리스, 대치2단지, 한보미도맨션",학원·에듀타운형,학원가·에듀형,"3호선 대치역·한티역 역세권, 밤 10시 학원가 일대 왕복 차선 마비","전국 1위 학원가 밀집으로 10대 학생 및 학부모 유동인구 365일 극대화, 유흥시설 전무로 치안 안전","야간 픽업 차량으로 인한 극심한 교통정체, 주차난 심각, 구축 상가 위생·화장실 노후화, 천정부지 임대료",초·중·고 수험생 자녀를 둔 4050 학부모 및 강사진,#역세권공백 #주차난,#초고자산 #직장인밀집 #야간소비 #학원가·학군,#교통정체 #노후상권 #고임대료,"스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과","유흥주점·주점(학교정화구역 규제), 고급 가구/인테리어점, 대형 패밀리 레스토랑","[데이터] 의류·잡화 편집숍 / 식자재마트·정육·반찬가게  [현장키워드] 스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과","의류·신발(×0.15), 식료품(×0.39)","교육(×2.25), 의료비(×1.42)",대한민국 사교육의 심장으로 학생들의 빠른 식음료 회전율과 학부모 소비력이 결합된 특수 독점 상권,기대수준,성장하는 강세상권,③ 확장형,,,1.3563247781343506,3395549373.0241,0.1126948779495081,"[학원가·에듀형] 인구·인프라로 본 기대소비 대비 실제 ×1.36 (분기 약 34억 원 웃돎, 추세 개선). 유사 원형 동 대비 의류·신발(×0.15), 식료품(×0.39) 비중이 낮아 해당 업종 공급 여지. 교육(×2.25), 의료비(×1.42)은 이미 강세라 신규 진입 시 차별화 필요. 이미 강하고 더 커지는 중 — 핵심가 대신 2선 입지·배후 골목 공략.",,16066.333333333334,18184.08333333333,0.7732222129156546,0.1512689504983667,0.1830952662023373,0.0325085586117341,2038380761.0,0.3396226415094339,0.0,130.0,127.05909540225716,37.49336170843875
강남구,11680610,대치2동,자산안정형,2,"은마, 래미안대치팰리스, 대치2단지, 한보미도맨션",학원·에듀타운형,학원가·에듀형,"3호선 대치역·한티역 역세권, 밤 10시 학원가 일대 왕복 차선 마비","전국 1위 학원가 밀집으로 10대 학생 및 학부모 유동인구 365일 극대화, 유흥시설 전무로 치안 안전","야간 픽업 차량으로 인한 극심한 교통정체, 주차난 심각, 구축 상가 위생·화장실 노후화, 천정부지 임대료",초·중·고 수험생 자녀를 둔 4050 학부모 및 강사진,#다중역세권 #집객시설밀집 #주차난,#초고자산 #직장인밀집 #학원가·학군,#교통정체 #노후상권 #고임대료 #주말공동화 #소비유출,"스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과","유흥주점·주점(학교정화구역 규제), 고급 가구/인테리어점, 대형 패밀리 레스토랑","[데이터] 식자재마트·정육·반찬가게  [현장키워드] 스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과",식료품(×0.31),"의류·신발(×18.41), 생활용품(×1.56)",대한민국 사교육의 심장으로 학생들의 빠른 식음료 회전율과 학부모 소비력이 결합된 특수 독점 상권,저평가,떠오르는 잠재상권,① 선점형 기회,90.3,1.0,0.5744819126996743,-22455871299.547382,0.0670600772735807,"[학원가·에듀형] 인구·인프라로 본 기대소비 대비 실제 ×0.57 (분기 약 225억 원 밑돎, 추세 개선). 유사 원형 동 대비 식료품(×0.31) 비중이 낮아 해당 업종 공급 여지. 의류·신발(×18.41), 생활용품(×1.56)은 이미 강세라 신규 진입 시 차별화 필요. 기대보다 덜 쓰지만 격차가 줄어드는 중 — 임대료 오르기 전 진입 적기.",,31440.15,84970.91666666667,2.693447084685439,0.1914058410970376,0.2371900569330803,0.0534355847307345,1087778286.0,0.3018867924528302,2.0,210.0,127.06566069711208,37.50098976619122
강남구,11680630,대치4동,영앤레버리지형,0,"은마, 래미안대치팰리스, 대치2단지, 한보미도맨션",학원·에듀타운형,학원가·에듀형,"3호선 대치역·한티역 역세권, 밤 10시 학원가 일대 왕복 차선 마비","전국 1위 학원가 밀집으로 10대 학생 및 학부모 유동인구 365일 극대화, 유흥시설 전무로 치안 안전","야간 픽업 차량으로 인한 극심한 교통정체, 주차난 심각, 구축 상가 위생·화장실 노후화, 천정부지 임대료",초·중·고 수험생 자녀를 둔 4050 학부모 및 강사진,#역세권공백 #몰세권 #의료허브 #주차난,#직장인밀집 #야간소비 #학원가·학군,#교통정체 #노후상권 #고임대료 #주말공동화 #경쟁과열가능,"스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과","유흥주점·주점(학교정화구역 규제), 고급 가구/인테리어점, 대형 패밀리 레스토랑","[데이터] 식자재마트·정육·반찬가게  [현장키워드] 스터디카페, 테이크아웃 간편식(토스트/삼각김밥/샐러드), 저가 대용량 커피, 인쇄/제본, 안과/정신건강의학과",식료품(×0.42),"유흥(×3.48), 교육(×1.68)",대한민국 사교육의 심장으로 학생들의 빠른 식음료 회전율과 학부모 소비력이 결합된 특수 독점 상권,초과달성,성장하는 강세상권,③ 확장형,,,5.172951882187052,124654109796.5142,0.4811669055337437,"[학원가·에듀형] 인구·인프라로 본 기대소비 대비 실제 ×5.17 (분기 약 1,247억 원 웃돎, 추세 개선). 유사 원형 동 대비 식료품(×0.42) 비중이 낮아 해당 업종 공급 여지. 유흥(×3.48), 교육(×1.68)은 이미 강세라 신규 진입 시 차별화 필요. 이미 강하고 더 커지는 중 — 핵심가 대신 2선 입지·배후 골목 공략. ※ 배율 극단(×5↑): 대형점·본사 매출 주소 집계 가능성, 현장 확인 필요","배율 극단(×5↑): 대형점·본사 매출 주소 집계 가능성, 현장 확인 필요",18373.733333333334,36671.25,2.347910175136993,0.3243794993016009,0.3474866817870141,0.2682166780948363,348340499.0,0.8514150943396226,0.0,159.0,127.05475913388136,37.50156295622019
